filename,type,min support,trans,items,len of frequentItemset,time
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.01,5000,8825,49,0.4371495246887207
Data/Bakery-formatted-number-TOP20.csv,APRIORI,0.05,5000,8825,10,0.04677248001098633
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.01,5000,9139,54,0.6229660511016846
Data/Bakery-formatted-number-TOP30.csv,APRIORI,0.05,5000,9139,9,0.04740166664123535
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.01,5000,9438,57,0.727304220199585
Data/Bakery-formatted-number-TOP40.csv,APRIORI,0.05,5000,9438,9,0.04630756378173828
Data/Market_Basket-number-TOP10.csv,APRIORI,0.01,5000,10083,97,0.33508729934692383
Data/Market_Basket-number-TOP10.csv,APRIORI,0.05,5000,10083,19,0.09166622161865234
Data/Market_Basket-number-TOP20.csv,APRIORI,0.01,5000,12851,199,1.038719892501831
Data/Market_Basket-number-TOP20.csv,APRIORI,0.05,5000,12851,24,0.3394443988800049
Data/Market_Basket-number-TOP30.csv,APRIORI,0.01,5000,15156,258,2.8400397300720215
Data/Market_Basket-number-TOP30.csv,APRIORI,0.05,5000,15156,32,0.7020547389984131
Data/Market_Basket-number-TOP40.csv,APRIORI,0.01,5000,16366,268,3.6553473472595215
Data/Market_Basket-number-TOP40.csv,APRIORI,0.05,5000,16366,31,0.5464353561401367
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI,0.01,5000,8813,99,0.33507704734802246
Data/Online_Retail-formatted-code-number-TOP10.csv,APRIORI,0.05,5000,8813,13,0.05755138397216797
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI,0.01,5000,11630,282,1.6783156394958496
Data/Online_Retail-formatted-code-number-TOP20.csv,APRIORI,0.05,5000,11630,21,0.2596886157989502
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI,0.01,5000,14383,491,4.66357421875
Data/Online_Retail-formatted-code-number-TOP30.csv,APRIORI,0.05,5000,14383,29,0.5903775691986084
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.01,5000,16342,702,8.317476511001587
Data/Online_Retail-formatted-code-number-TOP40.csv,APRIORI,0.05,5000,16342,35,0.9969668388366699
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.01,5000,6806,28,0.10207724571228027
Data/RetailScanner-formatted-category-number-TOP10.csv,APRIORI,0.05,5000,6806,11,0.06504154205322266
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.01,5000,8093,63,0.39078450202941895
Data/RetailScanner-formatted-category-number-TOP20.csv,APRIORI,0.05,5000,8093,16,0.15666937828063965
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.01,5000,8485,73,0.743201732635498
Data/RetailScanner-formatted-category-number-TOP30.csv,APRIORI,0.05,5000,8485,12,0.09879112243652344
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.01,5000,8925,79,1.2889742851257324
Data/RetailScanner-formatted-category-number-TOP40.csv,APRIORI,0.05,5000,8925,10,0.07127690315246582
Data/Bakery-formatted-number-TOP10.csv,BRUTE FORCE,0.01,5000,7975,37,0.5926480293273926
